Clause_ID,System,Paper_Section,Paper_Requirement,Production_File,Production_Lines,Production_Symbol,Executed_Path,Unit_Test_Name,Status,Evidence_Strength,Notes
S2.C2,System 2,§4.1,ATR uses EMA(TR; alpha_atr),src/weightiz/module2/core.py; src/weightiz/module2/core.py,520-532; 912-915,_ema_causal / precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_true_range_and_atr_floor_numeric,EXACT_MATCH,STRONG,`out[t] = alpha * arr[t] + (1-alpha) * out[t-1]`; numeric proof shown for alpha=1.0 and alpha=0.5.
S2.C3,System 2,§4.2,"ATRfloor = max(ATR, 4*tick, 0.0002*C_t) using current close C_t",src/weightiz/module2/core.py,917-923,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_true_range_and_atr_floor_numeric,EXACT_MATCH,STRONG,"Sealed branch uses `floor_tick=4*tick`, `floor_pct=0.0002*close_use`, and `atr_floor=max(atr_raw, floor_tick, floor_pct)`."
S2.C4,System 2,§6.2,anchor is current close C_t,src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,302-323; 83-89,run_streaming_profile_engine -> build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,"Executed helper only receives the bar-local `close_a`; it has no `current_close_t` parameter. Numeric proof: expected mu=-0.9090909091, actual mu=0.0."
S2.C5,System 2,§6.2,x(p; t) = (p - C_t) / (ATRfloor_t + epsilon_div),src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,302-323; 83-89,run_streaming_profile_engine -> build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,"The executed path computes `(mid_a - close_a)/(atr_eff_a + eps_div_a)` per bar, not `(p - C_t)/(ATRfloor_t + eps_div)` for every historical k at decision time t."
S2.C6,System 2,§5,RVOL baseline uses time-of-day median over last 20 sessions excluding today,src/weightiz/module2/core.py,"638-700,953-965",_rvol_baseline_ringbuffer / precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_rvol_baseline_excludes_today_numeric,EXACT_MATCH,STRONG,Ring buffer uses prior sessions only; numeric proof gives RVOL=2.0 for session 21 over baseline median 10.5.
S2.C7,System 2,§2.3,gap reset triggers on gapmin > 5,src/weightiz/shared/config/models.py; src/weightiz/shared/config/builders.py; src/weightiz/module1/core.py,31-39; 36-60; 470-473,EngineConfigModel.gap_reset_minutes -> build_engine_config -> build_session_clock_vectorized,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_defaults_match_spec,EXACT_MATCH,MODERATE,"Clock code sets `reset_flag = (gap_min > gap_reset_minutes) | session_change`, but the threshold remains user-configurable."
S2.C8,System 2,"§2.3, §7",reset semantics clear rolling state,src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py,"287-339,412-430; 50-79",run_streaming_profile_engine / apply_rolling_update,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_session_reset_does_not_clear_rolling_state,EXACT_MATCH,STRONG,"The ring update never clears on reset/session. Numeric proof at session reset: expected integrated mass 10.0, actual 20.0."
S2.C9,System 2,"§2.2, §7",session boundaries are not mixed,src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py,287-339; 50-79,run_streaming_profile_engine / apply_rolling_update,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_session_reset_does_not_clear_rolling_state,EXACT_MATCH,STRONG,Prior-session injections survive into the next session because the rolling buffers are not cleared.
S2.C10,System 2,§7,"W_t = min(W, m_t + 1)",src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py,"267-279,287-339,348-349; 50-79",run_streaming_profile_engine / apply_rolling_update,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_profile_warmup_uses_profile_window_not_tod_15,EXACT_MATCH,STRONG,The engine uses a global ring of length W and does not cap the window by session-local minute after reset/session boundaries.
S2.C11,System 2,"§7, Algorithm 1",warmup for tod < 15 returns neutral outputs while still updating internal state,src/weightiz/module2/market_profile_engine.py,"256-260,348-349,511-513",run_streaming_profile_engine,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_profile_warmup_uses_profile_window_not_tod_15,EXACT_MATCH,STRONG,Warmup gating is driven by `profile_warmup_bars`; live row t=20 still has zero profile output under the default 60-bar warmup.
S3.C1,System 3,§8,"range_k = max(H_k - L_k, epsilon_range)",src/weightiz/module2/core.py,1043-1045,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,"`range_ = maximum(high_use - low_use, eps_range)`."
S3.C2,System 3,§8,body_k = |C_k - O_k|,src/weightiz/module2/core.py,1045,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,`abs(close_use - open_use)` is the numerator feeding body_pct and trend weight.
S3.C3,System 3,§8,body_pct_k = body_k / range_k,src/weightiz/module2/core.py,1044-1046,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_body_pct_uses_extra_eps_div_in_denominator,EXACT_MATCH,STRONG,"Code divides by `range_ + eps_div`. Numeric proof: expected 0.5, actual 0.49504950495049505."
S3.C4,System 3,§8,wick_ratio_k computed exactly as specified,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,"197-225,1043-1099; 295-323; 60-116",MarketPhysics / run_streaming_profile_engine / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_wick_ratio_is_not_implemented_on_executed_path,EXACT_MATCH,STRONG,"No executed-path tensor, field, or helper computes `wick_ratio`; the morphology field is missing entirely."
S3.C5,System 3,§8.1,mean m_k = (O_k + C_k) / 2,src/weightiz/module2/market_profile_kernels.py,83-85,build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,`mid_a = 0.5 * (open_a + close_a)`.
S3.C6,System 3,§8.1,mu_{k->t} = (m_k - C_t) / (ATRfloor_t + epsilon_div),src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,302-323; 83-89,run_streaming_profile_engine -> build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,The executed helper uses bar-local `close_a`; it cannot compute `m_k - C_t` for historical k inside the window.
S3.C7,System 3,§8.2.1,w_RVOL = RVOL_t / (1 + RVOL_t),src/weightiz/module2/core.py,1051-1053,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,Sealed branch implements `w_rvol = rvol / (1 + rvol)`.
S3.C8,System 3,§8.2.1,range_eff = w_RVOL * range_k + (1 - w_RVOL) * ATRfloor_t,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,1051-1054; 302-323; 83-116,precompute_market_physics / run_streaming_profile_engine / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,The executed path computes per-bar range_eff once at bar time; it does not recompute historical k against decision-time `ATRfloor_t` and `RVOL_t`.
S3.C9,System 3,§8.2.1,sigma_base = range_eff / (4 * (ATRfloor_t + epsilon_div)),src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,1053-1056; 302-323; 83-116,precompute_market_physics / run_streaming_profile_engine / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,Executed sigma_base is fixed at each bar’s own time rather than recomputed for every k->t window projection.
S3.C10,System 3,§8.3,sigma1 = sigma_base / (1 + log(1 + RVOL_t)),src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,1054-1056; 302-323; 83-116,precompute_market_physics / run_streaming_profile_engine / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,"Sigma1 is computed per bar and stored, not recomputed against the decision-time RVOL_t for the full active window."
S3.C11,System 3,§8.3,sigma2 = sigma_base,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py,1055-1056; 302-323; 83-116,precompute_market_physics / run_streaming_profile_engine / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_streaming_backend_does_not_reproject_window_to_current_anchor,EXACT_MATCH,STRONG,Sigma2 is also fixed at bar time rather than decision time.
S3.C12,System 3,§8.3.1,"sigma floor: sigma1=max(sigma1, DX), sigma2=max(sigma2, DX)",src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,1057-1059; 93-94,precompute_market_physics / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,Both precompute and kernel guard sigma against DX.
S3.C13,System 3,§8.3.2,"w1 = clip(body_pct_k, 0, 1)",src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,"1045-1046,1060-1061; 95-99",precompute_market_physics / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_body_pct_uses_extra_eps_div_in_denominator,EXACT_MATCH,MODERATE,"The clip itself matches, but the upstream `body_pct` input is formula-shifted by an extra eps_div."
S3.C14,System 3,§8.3.2,w2 = 1 - w1,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,1060-1061; 99,precompute_market_physics / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,`w2 = 1.0 - w1`.
S3.C15,System 3,§8.3.2,both Gaussian components share the same mean,src/weightiz/module2/market_profile_kernels.py,85-89,build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,STRONG,Sealed mode sets `mu1 = mu_base` and `mu2 = mu_base`.
S3.C16,System 3,§9,Gaussian density implemented correctly,src/weightiz/module2/market_profile_kernels.py,43-46,_gaussian_pdf,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_float64_tensors_and_kernels_stay_float64,EXACT_MATCH,STRONG,`exp(-0.5*z^2)/(sigma*sqrt(2pi))` in float64.
S3.C17,System 3,§9.1,discrete row normalization uses epsilon_pdf,src/weightiz/module2/market_profile_kernels.py,133-139,inject_profile_mass,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_kernel_row_normalization_uses_dx_and_breaks_discrete_mass,EXACT_MATCH,STRONG,"The executed code divides by `sum(pdf) * dx + eps_pdf`, not the paper’s `sum(pdf) + eps_pdf`."
S3.C18,System 3,§9.1,mass injection conserves volume on-grid up to justified tolerance,src/weightiz/module2/market_profile_kernels.py,133-145,inject_profile_mass,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_kernel_row_normalization_uses_dx_and_breaks_discrete_mass,EXACT_MATCH,STRONG,Discrete raw row sum should equal 10.0 but actual is 199.99999999979997 because of the extra `* dx` normalization.
S3.C19,System 3,§8.3,no accidental inversion of body/wick semantics,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_kernels.py,1054-1061; 93-104,precompute_market_physics / build_bar_mixture_params,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_current_bar_sealed_sigma_and_weights_match_spec,EXACT_MATCH,MODERATE,"Sigma ordering remains narrow-body / wide-wick, but the body_pct input itself is shifted by the extra denominator epsilon."
S4.C1,System 4,§9.2,medV and MADV are computed on the working window,src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py,939-952; 287-339; 50-79,precompute_market_physics / run_streaming_profile_engine / apply_rolling_update,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_cap_is_not_recomputed_on_working_window,EXACT_MATCH,STRONG,Cap stats are computed once per bar and historical injections are never re-evaluated on the decision-time working window.
S4.C2,System 4,§9.2,cap = medV + 5 * MADV,src/weightiz/module2/core.py,944-952,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_cap_is_not_recomputed_on_working_window,EXACT_MATCH,MODERATE,"Current-bar cap formula matches, but executed historical k->t usage does not because caps are frozen at bar time."
